code,ecosystem
INP001,4063
D100,21438
PTH100,707
Q000,206641
PTH109,400
PTH120,910
ERA001,7792
A001,2635
COM812,146173
E501,217930
ANN201,138578
ANN001,205353
D200,13309
D212,42842
N806,5300
D202,4004
T201,12912
PLC0415,15333
PYI044,7
D404,1877
I001,16452
UP035,5374
D205,18856
D209,1375
D401,12158
D413,18399
S603,1152
D107,8140
D400,21636
D415,21389
C901,3905
PLR0913,8415
PLR0912,2549
PLR0915,1695
FBT001,11288
FBT002,9783
PTH118,5471
PTH110,1397
PTH103,440
S101,216826
FLY002,286
TD003,4517
FIX002,4184
FURB188,63
PTH122,178
PTH123,3878
PTH119,522
PTH207,258
N802,16753
TID252,4435
TC001,2067
D102,86322
N801,3110
TD002,4225
SLF001,35703
FBT003,5227
TD001,573
TD004,620
FIX003,337
ANN401,16543
S607,709
A002,4926
UP033,20
D103,71435
PLR2004,25017
RSE102,1137
FURB122,40
PTH112,358
PLR0911,787
TRY300,913
ANN204,9477
PTH117,72
D402,95
C420,52
PTH116,130
PTH101,93
TRY301,458
PYI063,153
TC002,705
D105,4275
PYI019,46
PYI036,142
PTH113,420
D104,5138
ANN202,31300
ANN003,10322
PTH124,25
S102,55
ANN002,4631
FURB129,10
S113,2118
TC003,2451
D101,21752
PYI006,4
RUF059,1412
PTH107,312
SIM117,1654
ARG001,11308
TRY002,706
B905,1875
PTH111,160
D403,907
PLR5501,478
FIX001,236
TRY003,19878
EM102,10315
E402,4190
RUF012,5617
C408,5510
ANN206,2153
EM101,11305
F401,2882
N813,31
F403,1122
ARG002,13968
RET503,722
RET506,771
B904,2348
RET505,5316
SIM108,1211
B028,668
D417,1821
RET507,111
PT006,3575
PT011,1385
PTH206,27
FIX004,98
S110,249
BLE001,3214
B018,823
N816,2307
PERF203,913
PT018,586
PLR0402,210
PERF401,648
PT007,2301
NPY002,1338
PT031,176
RUF043,878
PT012,468
SIM201,165
ARG005,1727
B023,120
C405,76
RUF001,3954
W293,1913
COM819,233
E713,19
E701,914
RUF002,1339
ANN205,1598
PLR1714,214
E731,475
PLW0642,68
RUF005,1471
F841,535
D300,1662
PLW2901,1264
PLW1641,236
TRY201,421
SIM105,544
SIM102,1243
TRY004,408
B008,955
N815,4341
N805,1808
D419,227
DTZ005,544
DTZ007,94
S310,74
B006,313
D416,142
N818,1243
A004,247
E741,173
E721,307
PLW0603,410
RUF010,539
ARG003,861
EM103,228
RET502,250
SIM115,378
S311,826
SIM300,723
S301,206
PLR0124,155
N803,10985
SIM118,677
PT003,97
D301,258
D414,17
SIM114,319
RUF015,237
S307,79
UP004,129
D405,79
UP031,1060
PLW0602,25
RET508,75
SIM210,43
EXE002,37
RUF022,1266
F821,772
D204,455
RET504,3122
N807,41
PLR2044,65
E712,81
SIM910,135
UP034,68
Q001,576
UP024,66
UP030,84
UP032,1053
D208,993
F822,25
UP036,841
D210,1902
E401,126
C404,10
RUF021,195
UP010,33
Q004,94
Q002,1505
E702,395
Q003,51
B007,730
UP015,303
UP028,24
TRY400,1269
B004,8
PLC0206,61
SIM113,22
TRY203,70
E711,32
SLOT000,38
S112,28
PTH202,62
TD005,63
SIM103,301
PTH104,48
G004,3307
PTH208,421
PTH102,143
PT017,89
ICN001,138
S314,23
DTZ001,7075
S506,8
ARG004,298
FURB166,1
PT028,108
S105,1110
SLOT001,10
RET501,172
F405,3253
PD003,160
PLR1730,33
S605,25
D106,463
N812,137
S321,13
N811,12
D410,144
D214,134
D411,334
D215,11
PTH108,115
B015,278
SIM202,20
S608,572
PGH004,864
TD006,165
W291,1502
ASYNC251,21
W292,313
S108,809
S106,1564
SIM211,24
UP006,14175
F541,746
C416,324
PERF402,51
B035,1
PLR1722,53
E703,15
PD011,1139
EXE001,127
COM818,17
RUF013,253
UP045,17970
UP007,4274
PERF403,28
UP009,44
invalid-syntax,682
RUF023,1042
ISC003,206
D412,329
PYI041,107
B017,37
PGH003,1930
DTZ006,49
F811,519
PLW1510,118
RUF100,971
PLC0208,18
FURB105,9
PIE810,73
D406,147
D409,99
PYI059,41
UP022,6
S701,22
PD002,415
PD008,88
D407,139
G201,121
TC006,1357
PIE807,88
PD013,146
PIE790,501
RUF019,21
TRY401,121
SIM401,34
INT002,1
LOG014,26
DTZ003,127
INT001,3
PLW1508,50
S704,58
LOG015,594
PLW0127,47
TC005,9
DTZ002,64
DTZ004,6
RUF051,14
PLC1802,21
UP037,1501
RUF003,1867
PERF102,118
N999,468
DTZ011,173
RUF046,34
A006,15
FURB132,3
PYI016,8
NPY201,38
PYI032,93
PYI030,16
PYI055,34
SIM905,134
RUF034,1
PIE804,154
PD004,29
PD010,257
NPY003,1
PIE808,97
PLR1711,95
PYI024,128
PLW0129,21
FURB167,74
PLE0643,1
PLR1704,127
PLR0133,16
ISC001,210
SIM212,17
PLW0128,4
PT013,154
PD009,71
N804,104
PT022,140
PT023,6
PT014,49
PLC0105,55
N817,41
PYI051,71
PYI034,71
PLR1736,17
RUF006,29
E722,269
C401,104
C403,54
EXE003,61
EXE005,44
T203,55
W605,103
PD015,18
PLW3301,4
B020,25
F404,5
ASYNC230,278
F706,1
S602,82
S104,69
D207,199
W191,84
E101,9
PT015,245
B011,227
FURB136,22
C417,50
UP012,124
B005,18
ASYNC220,13
DTZ901,17
C419,232
PIE800,39
B024,6
B009,132
UP008,98
B010,128
G003,26
C414,53
PTH201,59
G002,23
S324,86
C402,46
B027,21
PTH114,56
PT001,222
B019,23
PTH211,77
G001,51
S202,25
SIM110,54
B012,3
D201,2
S103,12
UP020,2
PT009,20795
PT027,1280
PIE794,5
PTH204,30
SIM112,49
B003,2
RUF028,14
PT019,544
F601,2
PTH106,23
YTT204,6
FURB177,15
PTH121,16
PLC0414,795
T100,3
PTH105,8
TC004,16
SIM109,9
PLC0205,26
SIM116,11
PYI057,2
N814,5
PLW0211,42
PYI011,125
PYI001,81
PYI054,3
PYI047,56
PYI029,15
PYI026,23
PYI008,6
PYI066,3
PYI042,16
PYI046,24
PYI009,945
PYI052,183
